id_persona;id_equipo;id_arte_marcial;id_categoria
152495625;56;1;8
898837968;77;5;4
36545225;91;2;8
539017973;94;1;9
384132680;77;2;9
518668348;39;5;9
935088678;68;5;3
328940250;68;5;4
685636484;10;2;5
254077085;17;1;1
941563272;7;1;5
261898390;72;2;9
269139422;24;3;5
581110556;17;1;5
832877574;53;2;8
242495404;1;5;4
686195358;42;4;7
141444111;42;3;2
449108407;100;4;4
194411618;75;5;9
386248017;62;3;6
182376111;83;5;7
211632968;71;4;3
992312138;74;5;7
901807727;20;5;3
959226572;70;5;2
74403621;30;5;10
493594848;58;4;6
323080351;98;2;8
729503057;73;3;4
521183197;81;1;4
784638667;44;4;3
223683692;86;4;3
26408567;85;5;1
324094337;21;5;9
325044753;43;2;4
191630488;81;2;3
48780016;33;2;10
591140335;58;3;2
705267560;42;1;5
97570753;34;2;8
766255640;31;4;1
57623832;15;3;2
825328088;33;3;10
846750208;16;3;3
90047302;41;5;7
373488012;99;4;2
348078274;53;4;8
67492238;32;2;5
705970720;28;2;10
259633336;98;5;6
704795371;76;4;5
587986043;17;5;8
113886349;68;1;9
806295957;53;2;2
491830465;87;3;3
17087807;98;1;2
560800459;91;3;3
68416135;42;4;5
620082269;26;2;4
858461177;44;3;6
481008286;51;4;5
402852171;1;5;1
394200928;56;5;5
29479611;44;5;1
913475510;39;1;6
707473117;56;5;3
59418374;75;2;7
737399936;75;2;8
571387815;76;5;1
421320649;39;1;1
822274501;96;2;6
581580359;96;4;6
324538400;46;2;8
865950258;64;3;6
518414027;96;3;9
629403575;85;1;2
428322324;29;2;5
806622652;36;5;1
310934739;5;1;5
3688512;86;5;1
34979131;71;4;5
862661286;34;3;3
963140697;50;3;5
90761482;77;2;7
572626492;73;3;8
744456113;100;5;7
187022596;100;1;1
111645611;1;5;7
703839739;20;3;6
668177171;50;3;2
366395950;14;2;7
748987959;90;4;9
629521993;89;4;4
840069927;7;2;5
134631052;21;3;5
914807763;4;4;9
320148991;84;3;9
405299648;26;2;5
438272367;94;3;9
952625638;1;4;1
803112687;58;4;1
796653672;61;1;9
103084138;91;5;6
778829542;96;1;3
199755187;73;1;3
225437650;42;5;3
364151712;54;5;2
722176636;79;1;5
542475026;99;1;2
277965696;63;5;6
879523412;70;1;1
829821274;31;5;1
958879242;62;1;8
558231327;20;2;8
322466129;15;4;5
519484123;96;3;6
320961712;97;5;9
830788408;3;2;9
107967312;28;5;1
525022779;34;3;6
631745311;29;4;6
306038274;79;5;3
113744031;3;5;2
480477864;27;4;7
944775476;22;2;7
181765248;41;4;9
407717907;54;1;6
216313316;78;5;6
182683671;64;3;6
665643097;16;1;2
154666905;79;3;7
447235969;46;2;1
656746898;90;5;8
236941781;16;3;9
197858812;44;2;9
709761562;71;1;4
429824339;2;2;3
418322225;16;5;9
640053067;51;3;8
163108880;48;2;6
757674537;4;1;4
628372868;46;2;1
545094199;67;2;5
169211374;90;4;3
754583205;26;2;5
501931835;64;2;6
709593767;11;3;9
917005476;5;1;3
30881834;53;4;3
809474717;55;5;4
38583777;87;2;1
486259244;81;2;9
329746563;29;5;6
470204379;28;5;2
925356764;80;1;6
209009627;78;4;8
887940958;19;1;5
449615296;28;3;7
914732742;19;5;10
964949604;1;2;8
72868799;53;4;2
994935554;52;5;9
582095051;14;2;10
141832572;1;3;3
82097447;42;2;1
285902804;90;2;4
527017868;55;3;1
367627740;69;3;8
277031691;33;3;9
400666039;3;3;7
627583065;43;1;1
621325963;41;4;9
581894528;9;2;2
195368690;99;4;3
964724413;100;1;10
441277882;71;3;3
400631734;81;5;8
796369343;95;2;5
175130540;72;3;10
987769611;8;4;4
703054226;20;2;4
674950813;78;4;2
935791686;4;1;2
988257382;55;1;3
954458972;32;1;7
147406773;80;3;3
61498205;23;4;10
343949933;2;3;8
830129059;47;5;6
40863599;9;5;2
304416697;73;2;7
772405645;90;2;9
349214903;54;1;10
126061568;71;5;5
920621768;22;3;3
798551285;25;3;8
281968676;32;4;3
180760044;9;4;5
652258180;58;5;4
427595425;53;5;1
645007374;77;1;8
83974119;15;2;3
696008043;80;4;2
657225369;9;1;7
509019197;28;4;9
562505602;54;2;9
186471531;81;4;9
616069801;53;1;5
324508380;24;3;1
507414374;44;4;9
234293269;57;2;4
892278637;65;3;10
570420027;32;3;2
264668760;79;1;2
52198597;3;2;5
196479404;4;5;10
301986111;52;4;4
863406082;47;1;3
478709588;51;5;8
430857383;1;5;1
606916393;52;1;3
881160977;74;2;2
858203061;37;4;8
992694949;46;3;2
834475583;56;3;2
226648472;69;1;4
124902034;23;4;6
396550478;22;5;5
583066751;82;4;2
775086429;82;5;5
660138907;59;5;10
382929788;32;2;3
774158406;10;5;4
72298557;52;1;6
464290409;72;5;2
203408121;50;5;3
667473316;75;1;2
141657287;33;4;2
686026055;77;3;6
617461707;66;5;8
404665213;70;5;4
642893180;31;5;7
660257219;5;2;10
911848984;39;5;10
3906541;63;2;10
268834613;49;1;9
464468492;71;3;5
986554007;57;3;7
804151032;44;2;7
537715781;38;2;5
353541293;10;5;9
949033494;80;4;1
580184655;58;3;8
388356405;19;3;5
812893040;33;5;1
893158747;38;4;6
891850687;59;2;6
692167438;18;5;8
292948609;91;2;6
992984206;9;4;9
53731815;59;3;6
619176176;76;5;4
117992660;100;2;4
517671322;6;2;2
289556702;1;1;3
23726766;54;2;7
181081809;33;2;8
567866221;7;3;1
982462255;76;5;7
295298409;96;5;9
61827660;48;4;1
643903306;77;2;6
86728764;38;2;6
546802118;8;4;7
248418840;2;2;4
757562122;34;4;10
818647075;28;1;6
990158874;88;3;3
586072250;67;2;5
784763934;61;1;8
309515487;68;3;7
102519192;8;4;8
269052326;62;1;6
689490760;15;3;5
659677983;42;5;3
137054042;36;2;3
512955050;52;2;7
129010098;24;1;9
518161878;100;5;10
890406337;75;3;1
437809235;71;2;6
540036348;24;1;7
881201009;56;5;5
976358522;29;5;3
982823933;94;1;2
369143420;10;2;4
555249560;57;3;1
103106099;55;2;4
247407586;16;2;5
127593735;100;5;3
678306085;99;1;2
112109774;14;3;9
285956153;37;5;1
839424217;19;3;6
943316265;96;4;7
240465499;47;5;10
745232785;86;4;1
961559501;27;1;4
424204785;73;3;1
638929036;64;1;1
832304029;56;5;10
442343688;13;4;10
745657869;39;2;7
696953664;5;1;4
702306945;61;2;2
854029380;54;4;4
420737410;56;4;7
744985760;85;5;1
805234558;75;3;2
586278917;10;2;3
587494987;28;1;6
94976490;54;5;3
174637497;34;2;1
530363512;85;2;7
118197764;19;4;9
542672100;17;2;6
688475917;80;3;2
644091179;4;4;9
467811785;10;2;6
593772398;5;5;8
60243428;32;1;4
807001122;51;5;5
427134020;47;4;6
987105613;72;5;7
835744085;23;2;1
532953406;40;4;2
118802189;2;5;8
852738767;82;4;4
306144880;80;2;5
698508239;25;2;10
246462316;55;1;2
859202104;28;3;4
166902587;45;5;10
462009111;67;3;7
327112006;80;4;4
292319327;51;3;8
162505968;43;1;5
660374212;92;5;7
156188941;75;3;1
419092813;92;4;5
936184822;76;1;2
434529863;11;4;8
714419618;27;1;7
592192961;6;2;1
718702138;63;5;10
199331295;54;5;8
736067753;70;3;3
222270897;23;1;9
846117272;99;2;7
434716307;69;5;4
751622550;66;4;4
245173956;49;3;9
235703551;86;2;9
120453354;44;4;4
662033713;35;4;3
286405592;12;2;7
934928563;100;1;9
39496959;57;3;7
845633671;95;2;6
58209742;94;3;3
800820317;56;1;9
397389467;96;3;7
292036882;34;5;1
642715588;41;4;6
595678789;94;2;1
544122791;54;5;1
582291875;21;2;4
832500799;90;5;4
507622671;16;2;4
950323727;25;5;4
365830896;59;5;1
682055695;65;3;10
432930704;72;1;6
942466135;55;3;1
41687269;55;4;10
312532403;28;2;8
665348730;65;2;2
570841931;17;4;7
984348734;56;3;8
990277882;86;4;5
908428695;76;2;9
219908216;100;1;3
719326215;43;2;5
77030058;11;1;2
620254948;21;2;6
582869023;65;1;1
232477028;19;2;9
461960089;35;1;5
421952192;52;3;8
696143888;39;1;9
162227164;72;3;4
722560928;17;1;7
341707793;48;3;6
71551993;58;3;6
273520257;24;3;9
330005069;44;5;3
873395349;82;5;6
999638870;28;5;10
256331619;90;3;1
892430543;73;5;8
784396614;9;2;9
450447128;9;5;10
647809973;47;1;6
586407909;58;3;8
403221710;19;2;3
270447110;4;5;7
777488996;97;3;7
123527637;58;2;10
363969300;52;4;10
861416037;86;5;7
398524240;17;2;2
632260114;40;4;3
856090697;78;5;2
551552710;64;3;2
597812155;10;4;4
99289880;71;5;9
475527263;54;2;7
950702475;71;3;3
849676309;98;1;1
768842553;81;5;3
61827574;36;4;9
473851551;66;5;2
49572784;37;1;10
971328622;95;1;6
1235290;96;3;8
69718527;44;3;9
454177425;2;4;6
609157696;51;1;4
49005978;31;1;2
796270681;21;4;10
631261345;95;1;9
458323510;86;3;9
822144701;57;5;3
303821251;83;1;2
565440326;40;2;10
79147947;10;3;1
667912820;85;2;7
274688270;23;3;1
561781800;87;5;5
782851340;10;4;9
675748830;29;1;6
194902379;15;4;3
370420618;56;3;2
113702431;97;4;5
655981708;100;4;10
718668397;10;4;2
198428986;80;5;1
426160843;79;3;5
667957551;3;1;7
235663267;71;2;2
812163853;38;5;8
187536287;64;2;1
505030564;8;3;7
993517939;100;2;5
408271305;18;1;2
495575741;80;4;10
883288355;53;4;2
812786245;55;1;7
263814300;42;2;7
290135257;38;3;5
366829169;28;2;8
917420343;23;3;3
855727555;84;2;6
481979167;24;4;3
66292984;80;5;2
503148125;100;2;2
834855114;22;1;7
566899229;27;4;6
929195109;84;1;5
652334730;12;5;10
641087590;26;1;6
183370303;14;3;10
619570152;7;3;3
536887574;99;5;10
580826086;61;4;8
947646972;70;5;8
426653316;93;4;10
760034008;31;3;8
512616718;48;3;5
836925742;69;2;4
538912789;56;3;2
877773745;92;1;2
678648283;62;1;6
789073690;88;3;9
847828393;39;3;8
71723277;46;4;10
18193983;31;4;6
601040262;89;1;7
668274120;3;2;10
61496390;16;1;4
276777908;48;1;8
26656559;71;5;10
617119325;23;3;3
3620176;94;3;1
770188342;94;3;1
148795884;16;5;7
457792257;82;2;4
3870275;65;4;2
923566551;10;1;5
483868153;50;1;5
187831860;58;2;2
195344380;49;5;5
97870065;43;1;3
373286748;47;2;4
304893393;32;5;9
602841388;34;4;7
786407391;21;4;6
341037098;24;4;6
857159939;12;5;9
802674692;14;1;2
332927267;56;3;5
126014411;97;1;2
166285024;77;4;6
572099590;71;5;7
486284841;96;3;7
101093441;89;1;9
79847325;100;4;3
378697399;33;3;5
661653902;33;3;10
600718560;6;5;4
781581865;6;3;3
941257885;36;4;1
909958539;91;5;4
428067555;70;2;4
722604015;63;1;6
746235177;61;3;4
799341436;88;1;1
100160517;97;2;2
134839996;75;1;6
609954784;4;1;4
41237214;18;3;4
27987908;41;3;2
879762464;98;3;7
937154414;49;3;2
825163124;67;5;2
232705629;29;3;1
949779996;97;5;6
830111794;14;5;3
525084279;41;1;1
421259917;72;1;8
608281027;54;5;9
554155177;74;1;10
519741712;67;3;7
126268334;44;3;10
525173862;28;5;10
280040494;58;2;1
518482867;93;2;7
720940236;62;4;2
907901772;72;3;8
853410248;54;4;10
132611051;59;1;8
142947576;8;4;6
174353162;8;3;4
112319281;98;4;2
855543764;66;1;9
414380025;24;2;1
227574325;86;5;9
907811339;78;1;8
967783944;29;5;5
714613399;41;3;7
904131238;63;5;10
749510780;59;1;10
449199104;44;1;3
138809005;29;4;1
788865666;82;2;1
794270891;5;5;6
534103977;78;3;9
156074324;71;2;1
633000463;73;2;5
515306686;1;2;6
663137750;3;4;7
404469845;85;1;8
671745100;62;4;3
243363726;13;5;3
601549191;87;2;1
722767973;93;3;5
273923690;73;3;9
111681485;16;2;2
227374022;58;4;7
813212796;93;4;8
95246537;85;1;4
375261484;37;3;6
899750128;35;3;9
660384465;80;2;9
923514580;36;1;1
281859853;64;4;5
430665785;18;5;10
646840927;64;5;5
718463956;52;5;6
775591189;82;5;8
299912469;39;4;8
753339191;87;4;9
253428460;34;3;10
420106080;5;5;9
912069957;78;3;3
567810835;46;3;5
878279238;27;4;10
259866725;51;4;4
696251977;95;1;3
17183899;95;5;9
894655072;99;2;5
154703707;70;5;1
4362878;57;5;1
234793266;97;1;5
50857848;99;2;8
430957877;78;3;8
895113533;93;2;6
2231094;61;1;8
109770340;7;5;1
668691472;33;4;4
31287722;63;1;2
251130134;60;4;6
921149193;4;4;10
263236428;63;1;6
624449469;73;1;2
52202676;18;1;4
441305453;2;5;7
661882680;3;3;5
944420693;95;4;7
279610784;60;1;8
181345801;99;1;1
97049936;95;2;3
579397966;21;3;5
430821939;33;5;8
265900080;49;3;8
296495046;50;5;6
720874241;67;1;10
397542349;36;4;5
161809384;10;5;2
728988740;12;5;6
721654758;39;1;10
600210130;80;5;6
628919652;8;2;4
832095748;55;4;1
752895952;66;5;6
616490254;65;1;5
994693199;16;3;9
946287527;6;2;3
40321692;33;3;1
384290196;27;3;4
165847879;41;3;7
950306362;55;1;3
421563992;15;5;1
777442565;52;4;1
796372808;28;4;5
678502851;7;1;9
140036269;10;1;3
940710152;90;5;10
406587114;4;4;1
572697452;85;2;7
252228546;70;2;4
100241444;96;1;5
978065776;63;4;2
437158018;42;1;9
825668729;12;5;10
209351914;72;5;2
997668749;17;5;1
885596359;63;4;8
273139238;75;2;9
295128498;15;2;3
201566993;7;1;9
269661397;50;1;6
265989319;77;4;2
225425742;85;1;2
574552413;70;3;4
953629739;44;1;10
70654751;3;5;2
940503407;30;3;3
164147263;64;5;9
352192357;97;1;4
788610730;47;3;8
761187089;65;2;6
99615155;3;1;9
575564902;2;2;10
901587289;48;1;6
799993278;78;4;5
629212730;36;3;4
162335404;29;1;8
684646779;26;4;8
934181863;74;5;7
888198493;9;5;5
384428559;14;1;8
119207238;74;3;6
64061252;48;4;1
764860897;69;1;6
484416074;93;5;3
209079039;94;2;9
650816478;59;4;9
130810851;42;5;6
343319649;26;3;10
772797291;47;4;1
191284709;4;5;4
757911504;51;4;10
810069666;99;5;10
597270384;20;2;8
293653217;76;1;8
528638680;95;2;2
550755292;94;1;10
360939638;98;5;2
8851221;71;4;10
789860301;8;1;9
191476721;81;1;10
112080014;94;4;7
190629284;98;2;10
189705331;38;1;3
614557525;25;5;1
476005507;30;3;6
6524447;75;3;9
509212502;15;3;5
618503526;30;3;6
562482181;98;4;5
507287137;96;1;9
227410189;89;1;7
911891211;87;3;5
709466185;93;3;2
459570003;88;4;10
907134486;100;2;1
151881665;78;1;6
419769733;1;4;3
173962893;65;5;2
317853650;80;4;5
660051864;74;1;2
44225910;56;4;6
690699775;54;3;5
97190670;9;1;3
679453754;34;4;9
595895388;12;2;8
424315631;6;3;7
658521657;37;2;1
513322735;45;1;9
517165880;21;4;3
795388117;15;4;1
564711842;18;2;5
168834841;7;1;8
184616577;13;4;5
682894305;48;5;6
420414508;95;4;3
322757489;58;2;4
624800636;15;2;7
316892279;89;4;9
251788792;80;1;7
634863738;10;5;2
126427623;89;1;4
251019142;23;2;8
722633000;31;3;4
865455555;13;1;7
762934560;4;4;10
311573945;54;1;1
370728729;45;1;4
479148573;78;3;7
971510032;89;5;2
474966645;98;2;7
145190382;24;5;5
465028406;43;5;9
470548429;35;5;1
663065114;14;4;9
772619803;10;3;3
648958167;60;2;2
988629416;55;2;4
773918190;84;3;1
796051707;45;4;8
609339723;92;5;1
171874418;3;5;5
51013854;31;2;2
881991316;14;5;8
726719885;70;3;5
746102938;97;5;1
558977114;10;4;8
889892107;75;5;10
988784199;58;2;7
213050133;13;2;4
835611511;3;2;6
955440608;38;3;1
38383541;71;5;3
346266052;55;5;8
541232206;91;2;2
169551119;18;3;1
627317854;35;1;3
759067497;73;3;8
657960052;7;4;4
866691084;26;4;8
361988939;34;2;9
979621017;63;4;6
816575046;80;2;5
705082131;7;1;1
260960398;62;2;9
512563774;74;3;2
685936812;85;1;7
526199460;31;4;4
605403671;18;4;10
991807207;75;1;1
727259658;11;5;4
838113269;6;2;3
886343569;74;1;4
284840197;72;3;10
21398237;59;5;7
253519980;71;3;3
13210788;8;5;6
940074551;39;2;4
460195039;20;3;1
296497690;23;4;6
714042827;4;4;1
458297131;90;3;7
842346397;63;3;9
443267472;7;5;3
865052111;1;2;5
531422504;70;2;2
440770378;55;5;9
220883282;32;2;2
966517784;44;5;3
808203588;28;4;5
700917256;61;2;2
756131756;84;2;4
364752920;74;4;4
