id_competencia;nombre;fecha_inicio;fecha_fin;lugar
114243049;Sure Tournament;2024-07-17;2025-06-12;East Michael
490804868;Quickly Tournament;2024-04-28;2025-11-06;Ronaldtown
730317498;Commercial Tournament;2024-10-23;2025-07-27;West Blakestad
378236302;Decade Tournament;2024-03-02;2025-06-23;South Sarah
386229870;Smile Tournament;2024-10-06;2025-07-22;Valentinehaven
703737337;Tonight Tournament;2024-05-30;2025-02-03;New Emilybury
511489517;New Tournament;2024-02-26;2025-10-13;West Jennifer
588529183;Effect Tournament;2024-04-09;2025-05-15;Lewisfort
588423582;Everybody Tournament;2023-11-25;2025-05-20;Grantberg
816719397;Art Tournament;2024-10-26;2024-11-24;Lake Mandyborough
621463473;Tough Tournament;2024-06-15;2025-04-20;Lake Monica
91580894;Effort Tournament;2024-03-29;2025-05-23;East Tina
488859215;Even Tournament;2024-02-28;2025-07-11;Morganchester
270202308;Source Tournament;2024-05-28;2025-02-08;South Kimberly
482818199;Medical Tournament;2024-09-02;2025-03-08;Alishaport
264464742;Ten Tournament;2024-02-14;2025-06-05;Matthewberg
296169528;Operation Tournament;2024-02-19;2025-01-21;Danaberg
947992609;Management Tournament;2024-03-10;2025-01-05;South Cynthia
599820283;Month Tournament;2024-09-03;2025-10-18;Sandersbury
198126690;Account Tournament;2024-07-25;2025-04-14;Edwardsfurt
523699816;Both Tournament;2024-11-10;2025-11-18;North Christopher
921287046;Bed Tournament;2024-08-18;2025-06-16;North Ryanbury
73168319;Fine Tournament;2024-02-05;2024-12-01;East Christopherside
722746295;Participant Tournament;2024-04-19;2025-02-05;Morenoside
245868260;Speech Tournament;2024-02-26;2025-01-03;Calderonstad
586228976;So Tournament;2024-04-16;2025-02-08;Brittneystad
223730418;Among Tournament;2024-03-04;2025-04-08;Port Erica
879028693;Discuss Tournament;2024-09-08;2025-09-24;East Brandon
942332012;Time Tournament;2024-05-26;2025-08-15;North Julia
154600250;Democratic Tournament;2024-05-07;2025-02-11;Port Amymouth
106145077;Bit Tournament;2024-09-07;2025-01-24;Rachaelside
844964282;Shake Tournament;2024-04-20;2025-03-17;Margaretmouth
77777357;Benefit Tournament;2023-11-25;2025-08-29;Gomezmouth
258303683;Down Tournament;2024-06-23;2025-02-07;Nortonview
132001595;Service Tournament;2024-08-17;2025-09-21;New Pamela
961716990;Student Tournament;2024-02-06;2025-05-18;Tiffanyview
88304974;Pressure Tournament;2024-02-25;2025-05-01;West Bradley
787989366;Window Tournament;2024-01-24;2025-06-21;Port Martinport
116666624;Political Tournament;2024-03-16;2025-01-05;West Lindsay
590219374;Since Tournament;2024-01-14;2025-01-24;East Annetteville
628398807;Will Tournament;2024-05-29;2025-01-03;Burtonfurt
495773934;Three Tournament;2024-03-29;2025-08-08;New Jeffrey
111908401;Although Tournament;2024-10-08;2025-05-14;New Stephenland
214904111;National Tournament;2024-07-22;2025-03-20;West Jennifer
507482803;Cold Tournament;2024-02-24;2025-05-24;Johnsonmouth
221015713;Everybody Tournament;2024-09-22;2024-12-19;East Jared
827620963;Community Tournament;2024-04-28;2025-02-12;Port Laurieland
659742363;Seat Tournament;2024-10-06;2025-05-20;East Dean
842494964;Set Tournament;2024-06-01;2025-02-11;East David
881999153;Husband Tournament;2024-09-07;2025-02-01;West Paul
166924140;Mean Tournament;2024-03-17;2025-11-21;North William
930777288;Nice Tournament;2024-08-09;2025-04-15;South Kevinton
903990223;Back Tournament;2024-09-28;2025-07-12;South Joseph
145315582;American Tournament;2024-06-06;2025-01-09;Sandersville
602263874;Bill Tournament;2024-08-06;2025-08-24;Ericton
211724132;Poor Tournament;2023-12-10;2025-08-02;Trujillostad
111808116;Impact Tournament;2024-08-22;2025-03-20;Kristinport
627828625;Represent Tournament;2024-04-08;2025-06-10;North Leroy
49214189;Seat Tournament;2024-09-12;2025-09-07;Charlesbury
372996773;These Tournament;2024-05-05;2025-11-06;East Daniel
