id_equipo;nombre;id_arte_marcial
801217192;Equipo Barbaraland;3
11563855;Equipo Port Susan;4
801358050;Equipo North Stephanieview;1
959043947;Equipo Laurenborough;5
953511187;Equipo Nicholsfort;2
204143512;Equipo Jennifertown;4
737060043;Equipo Millerbury;1
226900690;Equipo South Kyleberg;4
837911538;Equipo Donaldstad;3
491900294;Equipo North Juan;3
835205949;Equipo Lake Williamchester;1
304552707;Equipo North Derek;3
280078294;Equipo Port Stacy;4
660581612;Equipo Jillianshire;3
429227426;Equipo Castillofort;5
46182906;Equipo East Nicolemouth;2
825069548;Equipo North Isaac;1
340529093;Equipo Nguyenstad;1
123631974;Equipo North Madison;2
75397690;Equipo Lauriehaven;2
716815900;Equipo Collinstown;2
224299067;Equipo Stewartview;3
149223323;Equipo East Davidport;2
344171644;Equipo Triciatown;4
897854510;Equipo Lisaside;2
331837522;Equipo Hawkinshaven;3
307175633;Equipo New Johnview;5
976716493;Equipo Danielburgh;3
961759674;Equipo Nelsonside;4
697354662;Equipo Lake Teresa;3
563838585;Equipo South Crystalberg;1
448570069;Equipo East Maria;2
198949905;Equipo Hendersonchester;3
676957413;Equipo Port Gregoryborough;5
885158153;Equipo Ambermouth;2
227131023;Equipo Stonestad;5
310312469;Equipo Reedland;5
991659257;Equipo West William;1
649081635;Equipo West Randy;2
286329498;Equipo Hoffmanstad;2
445982229;Equipo Maryshire;2
21740507;Equipo Erikamouth;5
562631446;Equipo Port Derrickville;2
744569865;Equipo North Amy;1
113527971;Equipo Webbville;1
534410998;Equipo Allisonburgh;1
654472400;Equipo East Tonya;2
239657759;Equipo South Colin;1
269194486;Equipo Port Meganburgh;5
296328092;Equipo New Matthew;4
658404301;Equipo Wardborough;3
177443855;Equipo South Kevin;1
455376821;Equipo North Richardton;4
20442891;Equipo Lake Kelly;4
870046846;Equipo South Alexisshire;4
76889991;Equipo West Nicole;2
45239024;Equipo Nelsonchester;3
889722732;Equipo Whitneymouth;4
240185375;Equipo Hillport;1
466399122;Equipo Brandiborough;5
982616445;Equipo Austinborough;5
588742181;Equipo Lake Peter;4
939087545;Equipo Moodyside;3
6205637;Equipo Lake Glenn;1
188796294;Equipo Justinmouth;1
89297580;Equipo East Karenfurt;4
874623186;Equipo South Juanside;2
685105876;Equipo North Jonathanchester;2
881538414;Equipo Greenstad;1
890580505;Equipo Jamesmouth;5
117479005;Equipo Lake Lancemouth;2
639682624;Equipo East Kyleton;3
360265845;Equipo South Michael;4
258012779;Equipo Rebeccachester;2
271707971;Equipo Port David;5
829601200;Equipo Huertamouth;4
475015239;Equipo West Breanna;3
420322943;Equipo Richardland;3
541521318;Equipo Port Sean;3
86823538;Equipo Stevenburgh;4
673896865;Equipo New Reginald;1
664558633;Equipo Christopherberg;1
972880341;Equipo Warrenchester;3
730950833;Equipo Port Craigton;3
858195255;Equipo Brianaburgh;3
298888706;Equipo Lake Brandonton;3
281840554;Equipo South Lance;1
513049802;Equipo Jillview;5
534386321;Equipo Lisachester;5
768858074;Equipo Port Julianbury;2
285454367;Equipo Markbury;1
